customer_id,timestamp,latitude,longitude
DRV_001,2024-01-01 13:30:00,45.517713,-73.591359
DRV_001,2024-01-01 13:30:01,45.51773,-73.591512
DRV_001,2024-01-01 13:30:02,45.51772,-73.591647
DRV_001,2024-01-01 13:30:03,45.517698,-73.591772
DRV_001,2024-01-01 13:30:04,45.517681,-73.591902
DRV_001,2024-01-01 13:30:05,45.517705,-73.592032
DRV_001,2024-01-01 13:30:06,45.517652,-73.592177
DRV_001,2024-01-01 13:30:07,45.517588,-73.592327
DRV_001,2024-01-01 13:30:08,45.517487,-73.592421
DRV_001,2024-01-01 13:30:09,45.517368,-73.592529
DRV_001,2024-01-01 13:30:10,45.517256,-73.592662
DRV_001,2024-01-01 13:30:11,45.517127,-73.59279
DRV_001,2024-01-01 13:30:12,45.517001,-73.592923
DRV_001,2024-01-01 13:30:13,45.516864,-73.593055
DRV_001,2024-01-01 13:30:14,45.51671,-73.59314
DRV_001,2024-01-01 13:30:15,45.516588,-73.593274
DRV_001,2024-01-01 13:30:16,45.516437,-73.593403
DRV_001,2024-01-01 13:30:17,45.516259,-73.593451
DRV_001,2024-01-01 13:30:18,45.516084,-73.593464
DRV_001,2024-01-01 13:30:19,45.51589,-73.593505
DRV_001,2024-01-01 13:30:20,45.515735,-73.593382
DRV_001,2024-01-01 13:30:21,45.515588,-73.59328
DRV_001,2024-01-01 13:30:22,45.515425,-73.593226
DRV_001,2024-01-01 13:30:23,45.515283,-73.593214
DRV_001,2024-01-01 13:30:24,45.51514,-73.59323
DRV_001,2024-01-01 13:30:25,45.515033,-73.593383
DRV_001,2024-01-01 13:30:26,45.514918,-73.593555
DRV_001,2024-01-01 13:30:27,45.51477,-73.593679
DRV_001,2024-01-01 13:30:28,45.514612,-73.593671
DRV_001,2024-01-01 13:30:29,45.514474,-73.593701
DRV_001,2024-01-01 13:30:30,45.514352,-73.593754
DRV_001,2024-01-01 13:30:31,45.514217,-73.593827
DRV_001,2024-01-01 13:30:32,45.514065,-73.593848
