customer_id,num_claims,responsible,total_loss
DRV_001,2,True,True
DRV_002,2,True,False
DRV_003,1,True,True
DRV_004,2,True,False
DRV_005,2,True,False
DRV_006,2,True,False
DRV_007,3,False,False
DRV_008,3,False,False
DRV_009,3,True,True
DRV_010,2,True,True
DRV_011,1,False,True
DRV_012,1,True,False
DRV_013,2,False,True
DRV_014,3,True,False
DRV_015,3,True,False
DRV_016,1,True,False
DRV_017,1,False,False
DRV_018,1,True,False
DRV_019,1,False,False
DRV_020,0,False,False
DRV_021,0,False,False
DRV_022,0,False,False
DRV_023,1,False,False
DRV_024,0,False,False
DRV_025,1,False,False
DRV_026,1,True,False
DRV_027,0,False,False
DRV_028,1,False,False
DRV_029,1,True,False
DRV_030,0,False,False
DRV_031,0,False,False
DRV_032,0,False,False
DRV_033,0,False,False
DRV_034,0,False,False
DRV_035,1,False,False
DRV_036,1,False,False
DRV_037,0,False,False
DRV_038,0,False,False
DRV_039,1,False,False
DRV_040,0,False,False
DRV_041,3,True,False
DRV_042,1,True,False
DRV_043,2,False,False
DRV_044,0,False,False
DRV_045,2,True,False
DRV_046,1,False,True
DRV_047,0,False,False
DRV_048,0,False,False
DRV_049,0,False,False
DRV_050,3,False,False
