customer_id,avg_speed,max_speed,harsh_braking_count,recklessness_score,trips_recorded,num_claims,responsible,total_loss
DRV_001,75.72,137.43,0,14.68,10,2,True,True
DRV_002,64.08,137.32,0,15.26,10,2,True,False
DRV_003,70.86,137.4,0,14.99,10,1,True,True
DRV_004,64.42,137.31,0,15.51,10,2,True,False
DRV_005,66.14,137.31,0,14.81,10,2,True,False
DRV_006,60.74,137.37,0,15.12,10,2,True,False
DRV_007,80.58,137.38,1,14.66,10,3,False,False
DRV_008,70.57,137.3,0,15.04,10,3,False,False
DRV_009,56.36,137.34,0,14.81,10,3,True,True
DRV_010,64.64,137.39,0,15.3,10,2,True,True
DRV_011,78.29,137.46,0,14.83,10,1,False,True
DRV_012,75.9,137.38,1,15.96,10,1,True,False
DRV_013,54.08,137.38,1,16.03,10,2,False,True
DRV_014,85.2,137.35,0,14.29,10,3,True,False
DRV_015,58.52,137.39,0,15.23,10,3,True,False
DRV_016,22.99,50.77,0,3.75,10,1,True,False
DRV_017,18.19,50.69,0,5.15,10,1,False,False
DRV_018,27.2,50.85,0,2.91,10,1,True,False
DRV_019,28.1,50.85,0,2.51,10,1,False,False
DRV_020,27.15,50.85,0,2.71,10,0,False,False
DRV_021,32.72,50.9,0,2.1,10,0,False,False
DRV_022,23.81,50.85,0,3.39,10,0,False,False
DRV_023,25.44,50.75,0,3.22,10,1,False,False
DRV_024,20.07,50.91,0,6.93,10,0,False,False
DRV_025,23.24,50.85,0,3.56,10,1,False,False
DRV_026,29.73,50.82,0,3.33,10,1,True,False
DRV_027,29.92,50.77,0,2.05,10,0,False,False
DRV_028,31.06,50.86,0,2.06,10,1,False,False
DRV_029,27.81,50.9,0,2.57,10,1,True,False
DRV_030,28.23,50.84,0,2.82,10,0,False,False
DRV_031,20.68,50.79,0,4.91,10,0,False,False
DRV_032,24.5,50.84,0,4.17,10,0,False,False
DRV_033,31.08,50.84,0,3.84,10,0,False,False
DRV_034,23.02,50.85,0,4.48,10,0,False,False
DRV_035,22.5,50.76,0,3.93,10,1,False,False
DRV_036,18.23,50.69,0,5.88,10,1,False,False
DRV_037,26.01,50.85,0,4.05,10,0,False,False
DRV_038,26.18,50.75,0,3.36,10,0,False,False
DRV_039,32.74,50.86,0,2.14,10,1,False,False
DRV_040,22.5,50.84,0,4.14,10,0,False,False
DRV_041,39.95,79.65,0,7.62,10,3,True,False
DRV_042,37.44,79.71,0,8.28,10,1,True,False
DRV_043,40.02,79.61,0,5.95,10,2,False,False
DRV_044,34.82,79.67,0,6.71,10,0,False,False
DRV_045,35.98,79.69,0,7.02,10,2,True,False
DRV_046,44.09,79.68,0,7.21,10,1,False,True
DRV_047,41.56,79.59,0,7.02,10,0,False,False
DRV_048,40.88,79.71,0,7.2,10,0,False,False
DRV_049,47.83,79.71,0,6.51,10,0,False,False
DRV_050,38.52,79.65,0,7.77,10,3,False,False
